team_a_name,team_b_name,team_a_avg_goals,team_b_avg_goals,team_a_recent_form,team_b_recent_form,match_location,weather_condition,result
126,2484760,0.58,2.42,1,3,home,cloudy,team_b_win
127,2484759,3.47,1.94,1,1,away,cloudy,team_a_win
128,2484758,1.35,1.31,2,1,home,cloudy,team_a_win
129,2484757,1.82,1.95,2,5,home,cloudy,team_a_win
130,2484756,1.55,3.45,3,4,neutral,sunny,draw
131,2484755,2.73,2.12,5,1,neutral,rainy,draw
132,2484754,0.65,1.16,4,3,neutral,rainy,draw
133,2484753,2.06,2.2,1,3,home,sunny,draw
134,2484752,0.56,1.68,2,3,neutral,cloudy,team_b_win
135,2484751,1.25,2.57,5,5,away,rainy,draw
136,2484750,0.73,1.67,4,5,neutral,cloudy,team_b_win
137,2484749,2.09,0.84,2,5,neutral,sunny,team_a_win
138,2484748,2.6,2.27,4,1,away,cloudy,team_b_win
139,2484747,1.4,2.76,4,1,home,sunny,draw
140,2484746,0.96,1.77,5,4,away,sunny,draw
141,2484745,1,2.7,1,1,away,cloudy,team_a_win
142,2484744,2.81,3.29,4,2,away,rainy,team_b_win
143,2484743,2.39,1.08,4,2,neutral,sunny,draw
144,2484742,0.77,3.1,5,1,home,rainy,team_b_win
145,2484741,3.16,0.8,3,4,neutral,sunny,team_b_win
146,2484740,2.71,1,3,4,away,sunny,team_b_win
147,2484739,1.77,2.86,4,1,home,rainy,draw
148,2484738,3.1,1.04,3,5,home,cloudy,team_a_win
149,2484737,3.24,2.15,3,3,away,cloudy,team_b_win
150,2484736,2.17,3.07,2,2,neutral,rainy,team_a_win
151,2484735,3.29,1.38,2,5,home,sunny,team_a_win
152,2484734,1.19,2.66,4,2,away,cloudy,team_a_win
153,2484733,2.9,3.37,4,4,neutral,sunny,team_b_win
154,2484732,1.89,3.32,5,3,neutral,rainy,draw
155,2484731,3.1,2.82,4,1,away,cloudy,team_a_win
156,2484730,0.7,3.39,4,1,away,rainy,team_b_win
157,2484729,1.17,3.28,1,1,home,cloudy,team_a_win
158,2484728,1.27,0.92,5,3,neutral,sunny,team_a_win
159,2484727,2.57,2.48,4,1,home,sunny,draw
160,2484726,1.44,0.9,4,5,away,rainy,team_a_win
161,2484725,2.86,3.46,1,4,neutral,sunny,team_a_win
162,2484724,3.28,0.68,2,2,neutral,rainy,draw
163,2484723,2,0.92,4,3,away,cloudy,team_b_win
164,2484722,2.02,1.12,2,3,neutral,sunny,draw
165,2484721,2.39,2.15,4,3,away,cloudy,team_b_win
166,2484720,2.23,0.56,4,2,away,rainy,team_a_win
167,2484719,1.53,1.89,2,4,away,rainy,team_b_win
168,2484718,1.88,2.28,2,5,away,cloudy,team_a_win
169,2484717,2.37,1.59,1,2,away,sunny,draw
170,2484716,2.94,2.71,3,3,away,sunny,team_b_win
171,2484715,2.27,2.59,4,2,home,sunny,team_a_win
172,2484714,2.79,3.09,2,4,neutral,sunny,team_b_win
173,2484713,1.84,1.59,5,4,home,sunny,team_a_win
174,2484712,2.96,2.45,4,2,away,rainy,team_a_win
175,2484711,1.71,3.03,3,2,away,cloudy,draw
176,2484710,2.25,0.94,4,4,neutral,sunny,team_b_win
177,2484709,3.06,0.52,3,1,away,cloudy,draw
178,2484708,1.54,1.26,3,2,neutral,sunny,draw
179,2484707,1.39,1.34,4,5,away,rainy,draw
180,2484706,3.43,2.53,5,3,away,sunny,team_b_win
181,2484705,0.96,2.55,3,3,away,cloudy,draw
182,2484704,2.33,2.69,3,3,neutral,sunny,team_b_win
183,2484703,1.68,2.21,3,1,home,sunny,team_b_win
184,2484702,0.91,1.48,3,4,neutral,rainy,team_a_win
185,2484701,1.33,1.65,2,2,away,rainy,team_a_win
186,2484700,1.89,2,2,1,neutral,rainy,team_a_win
187,2484699,2.02,1.46,2,4,away,sunny,draw
188,2484698,2.5,0.53,2,1,away,cloudy,team_b_win
189,2484697,0.71,2.71,2,4,neutral,rainy,team_a_win
190,2484696,3.16,0.76,3,3,neutral,rainy,team_a_win
191,2484695,1.06,3.42,4,3,home,rainy,draw
192,2484694,2.03,2.1,3,5,home,cloudy,team_a_win
193,2484693,1.55,2.3,5,1,away,rainy,team_a_win
194,2484692,2.62,1.14,4,5,neutral,rainy,team_b_win
195,2484691,3.01,2.74,3,1,home,cloudy,team_b_win
196,2484690,3.01,1.53,1,3,home,sunny,team_a_win
197,2484689,1.9,3.07,1,5,away,cloudy,team_b_win
198,2484688,2.27,1.95,5,4,home,rainy,draw
199,2484687,2.69,0.81,3,5,away,cloudy,team_b_win
200,2484686,3.21,2.17,3,5,home,cloudy,team_b_win
201,2484685,2.86,0.8,3,3,away,rainy,draw
202,2484684,1.75,2.84,1,3,neutral,cloudy,draw
203,2484683,2.91,0.87,3,3,neutral,cloudy,team_b_win
204,2484682,2.5,1.18,5,2,neutral,rainy,team_a_win
205,2484681,1.29,1.78,4,5,home,cloudy,team_b_win
206,2484680,1.26,1.81,2,2,away,cloudy,team_b_win
207,2484679,0.98,1.04,5,4,neutral,cloudy,team_a_win
208,2484678,2.57,2.63,5,4,neutral,rainy,draw
209,2484677,0.77,3.2,3,3,away,sunny,draw
210,2484676,1.37,0.77,3,4,neutral,cloudy,draw
211,2484675,3.41,1.44,3,2,neutral,sunny,team_b_win
212,2484674,2.22,1.95,4,5,home,cloudy,team_b_win
213,2484673,1.05,0.86,5,3,away,cloudy,team_a_win
214,2484672,3.47,3.24,5,1,neutral,cloudy,draw
215,2484671,2.9,1.87,5,3,away,cloudy,team_a_win
216,2484670,2.22,2.9,1,3,home,sunny,draw
217,2484669,3.03,0.93,3,4,home,rainy,team_a_win
218,2484668,2.49,2.01,5,2,away,cloudy,draw
219,2484667,1.83,2.38,4,3,home,sunny,team_b_win
220,2484666,1.38,0.58,3,5,neutral,sunny,draw
221,2484665,3.05,1.87,2,1,home,cloudy,team_b_win
222,2484664,1.69,2.1,4,3,neutral,rainy,team_a_win
223,2484663,1.79,1.71,3,1,away,rainy,draw
224,2484662,1.46,3.15,4,4,away,rainy,team_a_win
225,2484661,2.4,1.97,1,3,neutral,rainy,team_b_win
226,2484660,2.08,2.33,3,1,away,sunny,draw
227,2484659,0.96,1.63,4,2,neutral,rainy,draw
228,2484658,2.13,0.62,2,2,away,cloudy,draw
229,2484657,1.21,1.52,5,2,home,sunny,team_a_win
230,2484656,2.27,1.03,4,3,neutral,cloudy,draw
231,2484655,3.16,1.15,4,4,home,cloudy,team_b_win
232,2484654,2.26,2.12,1,2,away,rainy,draw
233,2484653,2.84,2.79,5,5,home,rainy,draw
234,2484652,2.69,2.12,1,3,home,cloudy,team_b_win
235,2484651,2.7,2.35,4,4,away,cloudy,team_a_win
236,2484650,0.95,3.23,1,2,home,sunny,team_b_win
237,2484649,3.38,0.74,5,1,home,cloudy,team_a_win
238,2484648,1.02,2.66,3,3,away,rainy,team_b_win
239,2484647,3.21,2.88,4,3,away,cloudy,team_b_win
240,2484646,2.55,1.15,3,4,away,cloudy,draw
241,2484645,1.41,0.54,3,3,neutral,rainy,team_a_win
242,2484644,2.27,3.3,1,2,away,rainy,team_a_win
243,2484643,2.32,2.01,4,2,home,sunny,team_b_win
244,2484642,3.02,0.53,5,2,neutral,cloudy,team_a_win
245,2484641,0.57,3.05,2,1,neutral,rainy,draw
246,2484640,1.27,2.27,1,3,away,sunny,team_b_win
247,2484639,1.93,2.17,5,1,home,sunny,draw
248,2484638,3.46,1.83,1,5,away,cloudy,draw
249,2484637,2.51,2.07,3,1,neutral,cloudy,team_a_win
250,2484636,1.45,0.65,4,1,neutral,sunny,team_a_win
251,2484635,2.41,2.78,3,2,neutral,sunny,team_a_win
252,2484634,0.56,2.92,2,3,neutral,rainy,team_a_win
253,2484633,1.89,2.73,2,5,neutral,rainy,team_b_win
254,2484632,1.71,2.09,3,2,home,cloudy,draw
255,2484631,0.63,1.42,1,4,away,sunny,team_b_win
256,2484630,0.72,3.23,3,3,home,sunny,team_b_win
257,2484629,2.91,0.76,1,4,away,rainy,team_b_win
258,2484628,1.28,1.33,3,1,neutral,cloudy,draw
259,2484627,2.07,1.76,1,5,home,rainy,draw
260,2484626,2.91,2.07,2,2,home,rainy,draw
261,2484625,1.77,3.45,1,1,away,sunny,team_b_win
262,2484624,1.83,1.59,4,2,home,rainy,draw
263,2484623,3.09,2.79,1,2,neutral,cloudy,team_a_win
264,2484622,1.07,2.81,3,5,neutral,cloudy,draw
265,2484621,1.37,3.21,2,1,home,cloudy,draw
266,2484620,1.45,1.46,5,3,home,sunny,team_a_win
267,2484619,1.74,2.26,3,3,away,sunny,team_b_win
268,2484618,2.6,2.5,5,2,away,rainy,draw
269,2484617,1.64,0.54,5,2,away,rainy,team_a_win
270,2484616,1.12,2.87,4,5,neutral,cloudy,team_b_win
271,2484615,2.22,1.05,1,5,neutral,rainy,team_b_win
272,2484614,1.31,2.42,5,1,home,rainy,draw
273,2484613,2.45,3.4,5,2,home,rainy,team_b_win
274,2484612,0.79,1.99,1,2,away,rainy,draw
275,2484611,3.1,2.14,1,1,neutral,rainy,draw
276,2484610,2.4,2.01,3,3,away,cloudy,team_b_win
277,2484609,2.96,3.39,4,5,home,sunny,draw
278,2484608,3.24,2.92,1,1,away,rainy,team_a_win
279,2484607,0.73,1.53,1,3,home,cloudy,draw
280,2484606,0.76,1.09,1,5,home,cloudy,draw
281,2484605,2.04,1.68,4,4,away,rainy,team_a_win
282,2484604,1.71,0.77,1,4,away,rainy,draw
283,2484603,1.36,2.88,2,1,neutral,cloudy,team_b_win
284,2484602,0.54,3.42,1,3,home,rainy,draw
285,2484601,1.48,1.47,5,2,neutral,cloudy,team_b_win
286,2484600,3.14,2.74,4,5,home,cloudy,team_a_win
287,2484599,1.39,3.02,4,2,neutral,cloudy,draw
288,2484598,2.72,1.89,5,1,home,cloudy,draw
289,2484597,1.49,0.73,1,2,neutral,sunny,draw
290,2484596,3.32,3.04,3,5,home,rainy,team_b_win
291,2484595,3.41,2.07,4,1,home,rainy,draw
292,2484594,0.83,1.32,4,5,neutral,rainy,team_a_win
293,2484593,3.49,3.49,4,4,neutral,sunny,team_b_win
294,2484592,1.26,1.91,4,1,home,cloudy,draw
295,2484591,2.58,1.78,1,2,neutral,cloudy,team_b_win
296,2484590,3.08,1.46,1,2,neutral,rainy,draw
297,2484589,2.11,1.97,1,4,away,rainy,team_a_win
298,2484588,1.77,0.82,5,4,neutral,rainy,team_a_win
299,2484587,2.62,2.72,3,2,away,cloudy,draw
300,2484586,2.13,2.05,5,5,away,cloudy,draw
301,2484585,3.24,3.46,2,3,away,rainy,team_a_win
302,2484584,2.32,1.23,1,2,neutral,sunny,draw
303,2484583,1.11,1.86,3,2,away,cloudy,draw
304,2484582,1.58,2.07,4,5,neutral,sunny,draw
305,2484581,1.76,1.61,4,4,home,rainy,team_a_win
306,2484580,3.01,1,1,2,neutral,rainy,team_a_win
307,2484579,2.58,2.4,2,3,home,sunny,draw
308,2484578,0.85,2.84,4,1,home,sunny,draw
309,2484577,1.91,2.06,1,1,home,cloudy,team_a_win
310,2484576,2.61,1.8,1,4,home,sunny,draw
311,2484575,1.94,2.35,4,2,home,sunny,team_a_win
312,2484574,3.06,3.26,3,1,home,rainy,draw
313,2484573,0.62,2,4,3,away,sunny,team_a_win
314,2484572,1.97,2.49,5,2,home,sunny,draw
315,2484571,1.05,1.72,1,4,home,sunny,team_a_win
316,2484570,2.83,1.17,5,1,neutral,sunny,team_a_win
317,2484569,2.1,1.83,1,3,away,rainy,team_b_win
318,2484568,1.73,2.24,2,4,away,sunny,team_b_win
319,2484567,0.84,2.8,1,4,away,rainy,team_a_win
320,2484566,1.5,2.86,3,1,home,cloudy,draw
321,2484565,2.5,3.41,5,5,neutral,rainy,draw
322,2484564,1.3,2.28,3,5,neutral,rainy,team_b_win
323,2484563,1.7,3.42,3,2,away,cloudy,team_b_win
324,2484562,0.81,2.28,3,1,home,sunny,draw
325,2484561,0.75,1.16,2,1,home,sunny,team_b_win
326,2484560,1.25,2.46,2,1,neutral,rainy,draw
327,2484559,1.13,1.91,3,5,home,sunny,team_b_win
328,2484558,2.01,1.4,3,3,neutral,sunny,team_b_win
329,2484557,2.43,3.23,1,4,neutral,rainy,team_b_win
330,2484556,1.07,2.02,5,5,away,cloudy,team_b_win
331,2484555,1.93,0.63,2,3,home,sunny,draw
332,2484554,1.02,0.55,4,2,home,cloudy,team_b_win
333,2484553,2.14,2.82,5,1,home,cloudy,draw
334,2484552,1.08,1.72,2,2,home,sunny,team_b_win
335,2484551,2.1,3.4,2,2,away,sunny,team_a_win
336,2484550,3.22,0.72,5,2,neutral,sunny,team_a_win
337,2484549,3.12,2.88,1,2,away,sunny,draw
338,2484548,2.52,1.56,2,2,home,rainy,team_a_win
339,2484547,0.65,1.18,4,3,away,cloudy,draw
340,2484546,1.11,0.88,4,4,away,sunny,team_b_win
341,2484545,0.91,1.69,2,3,home,cloudy,team_b_win
342,2484544,1.18,3.49,2,5,neutral,sunny,draw
343,2484543,2.65,1.17,3,1,neutral,sunny,team_a_win
344,2484542,1.52,2.17,2,5,home,rainy,team_b_win
345,2484541,1.08,2.05,1,2,away,sunny,team_b_win
346,2484540,1.12,2.73,5,5,away,rainy,team_a_win
347,2484539,1.41,2.79,3,1,neutral,sunny,draw
348,2484538,1.05,2.03,3,5,neutral,rainy,draw
349,2484537,2.39,2.4,4,5,home,rainy,team_b_win
350,2484536,3.46,2.97,5,4,neutral,rainy,team_a_win
351,2484535,1.81,2.75,3,2,neutral,cloudy,draw
352,2484534,3.15,1.06,1,5,away,cloudy,draw
353,2484533,2.38,1.9,4,4,home,sunny,team_a_win
354,2484532,0.86,2.9,1,3,home,sunny,team_b_win
355,2484531,2.46,3.35,2,5,away,sunny,team_a_win
356,2484530,2.23,0.6,4,5,neutral,rainy,team_a_win
357,2484529,1.15,2.6,1,1,away,rainy,draw
358,2484528,0.81,2.01,2,5,away,rainy,team_a_win
359,2484527,1.47,2.27,3,2,home,rainy,team_a_win
360,2484526,1.48,1.98,5,4,away,cloudy,team_b_win
361,2484525,3.01,2.25,3,4,away,sunny,team_b_win
362,2484524,2.25,1.64,4,4,neutral,cloudy,team_a_win
363,2484523,1.74,3.23,4,1,away,sunny,team_a_win
364,2484522,2.61,0.68,4,4,neutral,rainy,team_a_win
365,2484521,1.03,2.98,1,2,home,rainy,team_a_win
366,2484520,1.69,0.77,4,4,home,cloudy,team_a_win
367,2484519,1.71,1.73,2,4,away,rainy,team_a_win
368,2484518,2.41,1.56,5,4,away,cloudy,draw
369,2484517,2.26,2.36,4,2,away,cloudy,team_a_win
370,2484516,1.08,3.1,2,5,home,rainy,team_a_win
371,2484515,1.75,3.14,1,2,away,rainy,draw
372,2484514,2.28,2.3,4,4,home,cloudy,team_b_win
373,2484513,1.95,2.69,4,2,neutral,cloudy,draw
374,2484512,3.14,3.31,4,1,away,sunny,team_a_win
375,2484511,0.84,1.92,3,1,away,cloudy,draw
376,2484510,3.01,0.62,2,3,away,sunny,team_b_win
377,2484509,2.87,1.94,1,1,neutral,sunny,draw
378,2484508,1.35,2.24,5,1,neutral,cloudy,team_b_win
379,2484507,1.35,0.93,1,2,home,sunny,draw
380,2484506,2.62,0.54,4,2,away,rainy,team_b_win
381,2484505,3.05,2.76,4,2,away,rainy,draw
382,2484504,1.55,1.6,4,2,home,sunny,team_a_win
383,2484503,2.92,1.31,1,5,neutral,cloudy,team_b_win
384,2484502,2.61,2.49,5,5,home,cloudy,draw
385,2484501,2.49,1.39,5,1,neutral,sunny,team_b_win
386,2484500,1.13,2.28,1,3,home,rainy,team_b_win
387,2484499,0.69,0.88,3,1,away,cloudy,team_a_win
388,2484498,1.58,1.64,1,1,home,cloudy,team_b_win
389,2484497,1.65,1.52,1,3,home,sunny,team_b_win
390,2484496,3.06,3.05,2,5,neutral,rainy,team_b_win
391,2484495,2.88,3.5,1,1,away,sunny,team_a_win
392,2484494,2.46,2.21,1,4,home,cloudy,team_b_win
393,2484493,2.36,3.1,2,1,neutral,sunny,team_a_win
394,2484492,1.85,1.29,1,4,neutral,cloudy,team_b_win
395,2484491,0.95,2.99,4,1,neutral,rainy,team_a_win
396,2484490,0.77,0.7,2,2,neutral,sunny,draw
397,2484489,2.58,2.81,4,3,home,rainy,team_a_win
398,2484488,2.21,3.17,4,1,home,cloudy,team_a_win
399,2484487,2.16,2.71,5,3,neutral,cloudy,team_a_win
400,2484486,0.95,3.18,1,5,neutral,rainy,draw
401,2484485,1.51,3.32,2,4,neutral,sunny,team_a_win
402,2484484,3.08,2.6,5,5,home,cloudy,team_b_win
403,2484483,2.59,1.87,4,2,neutral,cloudy,team_b_win
404,2484482,3.43,2.13,3,4,home,rainy,team_b_win
405,2484481,1.13,0.74,1,5,neutral,cloudy,team_b_win
406,2484480,3.15,1.22,1,3,home,sunny,team_b_win
407,2484479,1.36,2.82,1,4,away,sunny,team_a_win
408,2484478,0.88,2.69,3,4,away,sunny,team_b_win
409,2484477,1.31,1.81,5,2,home,rainy,draw
410,2484476,2.36,1.03,5,4,away,rainy,team_a_win
411,2484475,2.76,3.35,2,2,home,sunny,team_a_win
412,2484474,1.35,2.97,2,1,home,rainy,team_b_win
413,2484473,3.06,1.95,4,5,away,cloudy,team_b_win
414,2484472,1.18,1.85,5,2,home,rainy,draw
415,2484471,2.27,1.98,2,3,home,cloudy,team_b_win
416,2484470,2.61,0.64,3,2,away,sunny,team_b_win
417,2484469,0.96,0.7,2,4,home,rainy,team_b_win
418,2484468,1.85,2.56,1,1,away,sunny,team_a_win
419,2484467,1.16,1.74,2,2,away,sunny,team_b_win
420,2484466,3.17,0.83,4,3,home,rainy,team_b_win
421,2484465,2.67,0.89,3,1,home,rainy,team_a_win
422,2484464,2.68,3.04,5,5,away,sunny,team_b_win
423,2484463,0.94,0.55,2,4,home,rainy,team_b_win
424,2484462,2.33,0.51,4,5,away,rainy,team_b_win
425,2484461,2.54,1.61,4,5,away,rainy,team_b_win
426,2484460,1.7,1.29,5,4,away,rainy,draw
427,2484459,1.97,3.22,2,3,home,rainy,team_b_win
428,2484458,1.37,0.85,5,3,away,sunny,draw
429,2484457,1.5,2.42,4,3,home,cloudy,team_a_win
430,2484456,2.25,2.12,3,1,home,cloudy,draw
431,2484455,2.05,3.01,3,4,home,sunny,team_b_win
432,2484454,0.85,1.54,5,5,home,rainy,team_b_win
433,2484453,2.95,2.12,4,5,away,sunny,team_a_win
434,2484452,3.41,2,4,5,away,rainy,team_a_win
435,2484451,3.49,1.94,2,1,home,rainy,team_b_win
436,2484450,3.21,2.37,5,1,home,cloudy,draw
437,2484449,1.48,2.06,5,5,home,cloudy,draw
438,2484448,2.5,2.44,4,5,home,sunny,team_a_win
439,2484447,3.14,2.35,5,5,neutral,cloudy,team_b_win
440,2484446,3.47,2.72,3,1,neutral,rainy,team_a_win
441,2484445,1.45,1.2,1,3,home,sunny,team_b_win
442,2484444,3.5,1.86,5,2,home,cloudy,draw
443,2484443,1.75,0.87,5,3,away,cloudy,team_a_win
444,2484442,3.23,1.12,2,3,away,rainy,team_a_win
445,2484441,2.4,2.98,2,2,neutral,sunny,team_b_win
446,2484440,1.21,2.02,2,5,home,rainy,team_a_win
447,2484439,1.67,3.1,5,4,home,cloudy,draw
448,2484438,3.07,1.37,5,2,away,sunny,draw
449,2484437,2.06,3.02,4,4,home,rainy,team_b_win
450,2484436,2.06,2.83,3,5,away,sunny,team_a_win
451,2484435,1.15,2.47,3,3,home,rainy,team_b_win
452,2484434,1.53,2.26,3,4,neutral,rainy,team_a_win
453,2484433,2.48,2.25,2,1,home,rainy,team_b_win
454,2484432,1.97,1.57,4,1,away,cloudy,team_a_win
455,2484431,3.14,0.71,1,2,neutral,sunny,draw
456,2484430,3.23,0.96,4,1,away,rainy,team_a_win
457,2484429,2.71,1.55,2,1,home,rainy,team_a_win
458,2484428,0.66,1.56,4,2,neutral,rainy,draw
459,2484427,1.34,1.48,1,5,home,cloudy,draw
460,2484426,1.95,1.74,1,1,neutral,rainy,draw
461,2484425,0.72,0.97,3,3,neutral,rainy,team_b_win
462,2484424,3.32,2.1,3,1,away,cloudy,draw
463,2484423,1.84,1.03,2,2,home,rainy,draw
464,2484422,1.4,3.13,4,2,home,rainy,team_b_win
